chr	cds_start	cds_end	cds_id	dhs_start	dhs_end	dhs_id	tfbs_start	tfbs_end	tfbs_id	dataset
1	9188704	9189086	ENSG00000180758	9188800	9188950	734	9188926	9188938	Ets	predicted not supported by ChIP-seq
1	10221200	10221344	ENSG00000130939	10221280	10221430	884	10221318	10221334	GR	predicted not supported by ChIP-seq
1	10511434	10511649	ENSG00000175279	10511560	10511710	911	10511594	10511612	GR	predicted not supported by ChIP-seq
1	10511434	10511649	ENSG00000241563	10511560	10511710	911	10511594	10511612	GR	predicted not supported by ChIP-seq
1	10511434	10511649	ENSG00000251503	10511560	10511710	911	10511594	10511612	GR	predicted not supported by ChIP-seq
1	10555331	10555378	ENSG00000142655	10555260	10555410	918	10555344	10555358	PRDM1	predicted not supported by ChIP-seq
1	10555331	10555378	ENSG00000142655	10555260	10555410	918	10555345	10555360	Irf	predicted not supported by ChIP-seq
1	10699002	10700116	ENSG00000130940	10699560	10699710	931	10699686	10699694	NR4A	predicted not supported by ChIP-seq
1	11140556	11140606	ENSG00000171824	11140540	11140690	964	11140566	11140588	Mef2	predicted not supported by ChIP-seq
1	11710523	11710891	ENSG00000116661	11710560	11710710	998	11710604	11710620	AP-2	predicted not supported by ChIP-seq
1	11898592	11899047	ENSG00000011021	11898840	11898990	1022	11898899	11898909	TAL1	predicted not supported by ChIP-seq
1	12304303	12304493	ENSG00000048707	12304260	12304410	1083	12304325	12304339	PRDM1	predicted not supported by ChIP-seq
1	12335882	12338095	ENSG00000048707	12336400	12336550	1085	12336412	12336428	Maf	predicted not supported by ChIP-seq
1	12677159	12677353	ENSG00000162496	12677160	12677310	1127	12677210	12677222	AP-2	predicted not supported by ChIP-seq
1	12677159	12677353	ENSG00000162496	12677160	12677310	1127	12677252	12677273	NRSF	predicted not supported by ChIP-seq
1	14075856	14075982	ENSG00000116731	14075780	14075930	1154	14075860	14075876	AP-2	predicted not supported by ChIP-seq
1	14104913	14109326	ENSG00000116731	14108900	14109050	1159	14108997	14109019	EBF	predicted not supported by ChIP-seq
1	15494994	15495273	ENSG00000204464	15495140	15495290	1288	15495157	15495165	STAT	predicted not supported by ChIP-seq
1	16893674	16893846	ENSG00000219481	16893720	16893870	1492	16893742	16893751	AP-1	predicted not supported by ChIP-seq
1	16918342	16918516	ENSG00000219481	16918380	16918530	1493	16918430	16918438	TCF12	predicted not supported by ChIP-seq
1	16918342	16918516	ENSG00000219481	16918380	16918530	1493	16918498	16918506	TCF12	predicted not supported by ChIP-seq
1	19282162	19282826	ENSG00000169991	19282520	19282670	1665	19282569	19282579	TAL1	predicted not supported by ChIP-seq
1	19282162	19282826	ENSG00000169991	19282520	19282670	1665	19282627	19282643	Ets	predicted not supported by ChIP-seq
1	19407843	19408300	ENSG00000127481	19408120	19408270	1677	19408253	19408270	Hsf	predicted not supported by ChIP-seq
1	21795181	21795390	ENSG00000142794	21795220	21795370	1883	21795293	21795301	TCF12	predicted not supported by ChIP-seq
1	23695791	23696168	ENSG00000249087	23696040	23696190	2053	23696073	23696086	Hsf	predicted not supported by ChIP-seq
1	24069916	24070068	ENSG00000011007	24069860	24070010	2091	24069921	24069934	SP1	predicted not supported by ChIP-seq
1	24106354	24106431	ENSG00000057757	24106340	24106490	2101	24106401	24106412	NF-E2	predicted not supported by ChIP-seq
1	24106354	24106431	ENSG00000057757	24106340	24106490	2101	24106403	24106418	ATF3	predicted not supported by ChIP-seq
1	25256078	25256359	ENSG00000020633	25256140	25256290	2258	25256239	25256249	Nrf1	predicted not supported by ChIP-seq
1	26361656	26361835	ENSG00000158008	26361640	26361790	2401	26361656	26361674	AP-2	predicted not supported by ChIP-seq
1	26361656	26361835	ENSG00000158008	26361640	26361790	2401	26361661	26361670	ZBTB7A	predicted not supported by ChIP-seq
1	26361656	26361835	ENSG00000158008	26361640	26361790	2401	26361693	26361703	SP1	predicted not supported by ChIP-seq
1	26361656	26361835	ENSG00000158008	26361640	26361790	2401	26361748	26361758	GR	predicted not supported by ChIP-seq
1	26361656	26361835	ENSG00000158008	26361640	26361790	2401	26361762	26361783	NRSF	predicted not supported by ChIP-seq
1	27022895	27024031	ENSG00000117713	27023300	27023450	2488	27023325	27023341	AP-2	predicted not supported by ChIP-seq
1	27105514	27107244	ENSG00000117713	27107200	27107350	2499	27107226	27107242	NF-Y	predicted not supported by ChIP-seq
1	27676463	27676623	ENSG00000142765	27676460	27676610	2572	27676594	27676610	AP-2	predicted not supported by ChIP-seq
1	27995732	27995825	ENSG00000126709	27995760	27995910	2629	27995798	27995811	Irf	predicted not supported by ChIP-seq
1	29586382	29586556	ENSG00000060656	29586440	29586590	2805	29586449	29586457	E2F	predicted not supported by ChIP-seq
1	29586382	29586556	ENSG00000060656	29586440	29586590	2805	29586496	29586507	Pax-5	predicted not supported by ChIP-seq
1	31191582	31191804	ENSG00000162510	31191480	31191630	2865	31191594	31191605	Pax-5	predicted not supported by ChIP-seq
1	31425081	31425210	ENSG00000134644	31425060	31425210	2916	31425096	31425105	ATF3	predicted not supported by ChIP-seq
1	31425081	31425210	ENSG00000134644	31425060	31425210	2916	31425102	31425115	CEBPB	predicted not supported by ChIP-seq
1	31478700	31478878	ENSG00000134644	31478780	31478930	2925	31478850	31478866	NF-Y	predicted not supported by ChIP-seq
1	32165414	32165531	ENSG00000084636	32165320	32165470	2996	32165435	32165448	AP-2	predicted not supported by ChIP-seq
1	32681403	32681495	ENSG00000222046	32681360	32681510	3061	32681408	32681422	GATA	predicted not supported by ChIP-seq
1	32681403	32681495	ENSG00000222046	32681360	32681510	3061	32681443	32681458	AP-2	predicted not supported by ChIP-seq
1	32782266	32782383	ENSG00000116478	32782220	32782370	3079	32782343	32782353	GATA	predicted not supported by ChIP-seq
1	33149859	33149983	ENSG00000162520	33149900	33150050	3125	33149915	33149923	BRCA1	predicted not supported by ChIP-seq
1	33149859	33149983	ENSG00000162520	33149900	33150050	3125	33149972	33149982	TAL1	predicted not supported by ChIP-seq
1	33160466	33161645	ENSG00000162520	33160840	33160990	3127	33160860	33160877	Maf	predicted not supported by ChIP-seq
1	33160466	33161645	ENSG00000162520	33160840	33160990	3127	33160868	33160880	Ets	predicted not supported by ChIP-seq
1	33160466	33161645	ENSG00000162520	33160840	33160990	3127	33160916	33160926	TAL1	predicted not supported by ChIP-seq
1	33646626	33647033	ENSG00000116525	33646700	33646850	3216	33646709	33646730	NRSF	predicted not supported by ChIP-seq
1	33646626	33647033	ENSG00000116525	33646960	33647110	3217	33646990	33647000	TAL1	predicted not supported by ChIP-seq
1	33772370	33773054	ENSG00000184389	33772780	33772930	3237	33772854	33772866	Nrf1	predicted not supported by ChIP-seq
1	33772370	33773054	ENSG00000184389	33772780	33772930	3237	33772898	33772908	Myc	predicted not supported by ChIP-seq
1	33799691	33799893	ENSG00000134686	33799760	33799910	3241	33799783	33799797	SP1	predicted not supported by ChIP-seq
1	33799691	33799893	ENSG00000134686	33799760	33799910	3241	33799796	33799815	NRSF	predicted not supported by ChIP-seq
1	33799691	33799893	ENSG00000134686	33799760	33799910	3241	33799820	33799835	Irf	predicted not supported by ChIP-seq
1	33799691	33799893	ENSG00000134686	33799760	33799910	3241	33799831	33799845	ATF3	predicted not supported by ChIP-seq
1	35656295	35656596	ENSG00000116560	35656340	35656490	3314	35656469	35656490	RXRA	predicted not supported by ChIP-seq
1	36039528	36040010	ENSG00000116819	36039740	36039890	3353	36039781	36039794	AP-2	predicted not supported by ChIP-seq
1	36039528	36040010	ENSG00000116819	36039740	36039890	3353	36039819	36039830	Egr-1	predicted not supported by ChIP-seq
1	36070834	36070883	ENSG00000126067	36070800	36070950	3362	36070867	36070881	BHLHE40	predicted not supported by ChIP-seq
1	36554506	36554716	ENSG00000116863	36554620	36554770	3401	36554644	36554658	ATF3	predicted not supported by ChIP-seq
1	36554506	36554716	ENSG00000116863	36554620	36554770	3401	36554697	36554711	p300	predicted not supported by ChIP-seq
1	36788572	36788638	ENSG00000142694	36788480	36788630	3433	36788597	36788614	RFX5	predicted not supported by ChIP-seq
1	38397160	38397725	ENSG00000204084	38397460	38397610	3547	38397560	38397573	STAT	predicted not supported by ChIP-seq
1	38484731	38484824	ENSG00000183520	38484680	38484830	3562	38484755	38484765	TAL1	predicted not supported by ChIP-seq
1	38484731	38484824	ENSG00000183520	38484680	38484830	3562	38484781	38484789	BRCA1	predicted not supported by ChIP-seq
1	39759130	39759291	ENSG00000127603	39759140	39759290	3666	39759175	39759193	RFX5	predicted not supported by ChIP-seq
1	39796875	39802325	ENSG00000127603	39797660	39797810	3670	39797708	39797718	Myc	predicted not supported by ChIP-seq
1	39796875	39802325	ENSG00000127603	39798080	39798230	3671	39798153	39798163	TAL1	predicted not supported by ChIP-seq
1	39796875	39802325	ENSG00000127603	39798080	39798230	3671	39798159	39798170	NF-E2	predicted not supported by ChIP-seq
1	39796875	39802325	ENSG00000127603	39798080	39798230	3671	39798170	39798182	Mef2	predicted not supported by ChIP-seq
1	39796875	39802325	ENSG00000127603	39798080	39798230	3671	39798181	39798200	NRSF	predicted not supported by ChIP-seq
1	39876346	39880218	ENSG00000255103	39876660	39876810	3678	39876759	39876778	CTCF	merged_ENCODE.tf.bound.union.bed
1	40124796	40125158	ENSG00000116981	40124880	40125030	3697	40124901	40124917	TAL1	predicted not supported by ChIP-seq
1	40124796	40125158	ENSG00000116981	40124880	40125030	3697	40124920	40124943	Egr-1	predicted not supported by ChIP-seq
1	40235377	40236927	ENSG00000198754	40236040	40236190	3704	40236061	40236073	ELF1	predicted not supported by ChIP-seq
1	40235377	40236927	ENSG00000198754	40236040	40236190	3704	40236163	40236174	NF-kappaB	predicted not supported by ChIP-seq
1	40928093	40929258	ENSG00000187801	40928700	40928850	3776	40928824	40928839	Pou5f1	predicted not supported by ChIP-seq
1	40960593	40961728	ENSG00000187815	40961000	40961150	3779	40961126	40961134	TCF4	predicted not supported by ChIP-seq
1	41284177	41284352	ENSG00000117013	41284220	41284370	3810	41284257	41284272	Ets	predicted not supported by ChIP-seq
1	41847288	41848550	ENSG00000204060	41847440	41847590	3858	41847530	41847540	AP-2	predicted not supported by ChIP-seq
1	43111806	43111988	ENSG00000186409	43111860	43112010	3960	43111938	43111949	NF-E2	predicted not supported by ChIP-seq
1	43148658	43149036	ENSG00000065978	43148700	43148850	3963	43148721	43148736	ATF3	predicted not supported by ChIP-seq
1	43148658	43149036	ENSG00000065978	43148700	43148850	3963	43148806	43148820	BHLHE40	predicted not supported by ChIP-seq
1	43212586	43213083	ENSG00000117385	43212900	43213050	3967	43212908	43212918	TAL1	predicted not supported by ChIP-seq
1	43212586	43213083	ENSG00000117385	43212900	43213050	3967	43212954	43212975	RXRA	predicted not supported by ChIP-seq
1	44401974	44402434	ENSG00000117407	44402120	44402270	4073	44402122	44402136	Egr-1	predicted not supported by ChIP-seq
1	45275885	45276098	ENSG00000222009	45275920	45276070	4167	45275962	45275979	Hsf	predicted not supported by ChIP-seq
1	45275885	45276098	ENSG00000222009	45275920	45276070	4167	45275991	45276000	AP-2	predicted not supported by ChIP-seq
1	45275885	45276098	ENSG00000222009	45275920	45276070	4167	45276040	45276050	STAT	predicted not supported by ChIP-seq
1	47728575	47728788	ENSG00000123473	47728600	47728750	4380	47728722	47728732	TCF12	predicted not supported by ChIP-seq
1	47728575	47728788	ENSG00000123473	47728600	47728750	4380	47728738	47728748	GR	predicted not supported by ChIP-seq
1	47881988	47882944	ENSG00000186790	47882240	47882390	4398	47882242	47882255	AP-2	predicted not supported by ChIP-seq
1	47881988	47882944	ENSG00000186790	47882240	47882390	4398	47882270	47882279	YY1	predicted not supported by ChIP-seq
1	47881988	47882944	ENSG00000186790	47882240	47882390	4398	47882321	47882331	Nrf1	predicted not supported by ChIP-seq
1	51439565	51439939	ENSG00000123080	51439700	51439850	4621	51439764	51439778	SRF	predicted not supported by ChIP-seq
1	52082729	52082893	ENSG00000117859	52082720	52082870	4685	52082741	52082755	ATF3	predicted not supported by ChIP-seq
1	52498372	52499433	ENSG00000198841	52498540	52498690	4723	52498571	52498583	Pbx3	predicted not supported by ChIP-seq
1	52498372	52499433	ENSG00000198841	52498920	52499070	4724	52498966	52498988	EBF	predicted not supported by ChIP-seq
1	52498372	52499433	ENSG00000198841	52498920	52499070	4724	52498983	52498999	AP-2	predicted not supported by ChIP-seq
1	52734135	52734304	ENSG00000157077	52734160	52734310	4746	52734225	52734241	Ets	predicted not supported by ChIP-seq
1	53680334	53680408	ENSG00000162384	53680300	53680450	4815	53680350	53680364	ATF3	predicted not supported by ChIP-seq
1	54344315	54344395	ENSG00000058799	54344300	54344450	4862	54344324	54344341	TCF4	predicted not supported by ChIP-seq
1	54511320	54511459	ENSG00000116209	54511300	54511450	4879	54511408	54511417	YY1	predicted not supported by ChIP-seq
1	55181196	55181283	ENSG00000271723	55181140	55181290	4938	55181260	55181272	Ets	predicted not supported by ChIP-seq
1	55352562	55352792	ENSG00000116133	55352600	55352750	4950	55352657	55352670	Irf	predicted not supported by ChIP-seq
1	55352562	55352792	ENSG00000116133	55352600	55352750	4950	55352710	55352719	GR	predicted not supported by ChIP-seq
1	59041860	59042828	ENSG00000184292	59042420	59042570	5131	59042471	59042486	E2F	predicted not supported by ChIP-seq
1	65141580	65141666	ENSG00000158966	65141520	65141670	5723	65141630	65141648	RFX5	predicted not supported by ChIP-seq
1	65895545	65895731	ENSG00000213625	65895660	65895810	5789	65895700	65895712	ELF1	predicted not supported by ChIP-seq
1	67519494	67519696	ENSG00000116704	67519620	67519770	5922	67519672	67519684	ATF3	predicted not supported by ChIP-seq
1	68152033	68152270	ENSG00000116717	68152080	68152230	5991	68152210	68152222	AP-2	predicted not supported by ChIP-seq
1	70820635	70820891	ENSG00000197568	70820620	70820770	6161	70820723	70820737	ATF3	predicted not supported by ChIP-seq
1	74670075	74671513	ENSG00000254685	74671200	74671350	6316	74671333	74671344	AP-1	predicted not supported by ChIP-seq
1	74670075	74671513	ENSG00000254685	74671200	74671350	6316	74671334	74671345	NF-E2	predicted not supported by ChIP-seq
1	74935565	74937885	ENSG00000162621	74936540	74936690	6329	74936646	74936663	Ets	predicted not supported by ChIP-seq
1	74935565	74937885	ENSG00000162621	74936540	74936690	6329	74936650	74936662	ELF1	predicted not supported by ChIP-seq
1	76262671	76262914	ENSG00000057468	76262800	76262950	6383	76262819	76262831	ZEB1	predicted not supported by ChIP-seq
1	76262671	76262914	ENSG00000057468	76262800	76262950	6383	76262821	76262831	Mxi1	predicted not supported by ChIP-seq
1	76262671	76262914	ENSG00000057468	76262800	76262950	6383	76262857	76262876	NRSF	predicted not supported by ChIP-seq
1	76262671	76262914	ENSG00000057468	76262800	76262950	6383	76262879	76262889	SP1	predicted not supported by ChIP-seq
1	77747999	77748058	ENSG00000154027	77747920	77748070	6499	77748034	77748046	NF-kappaB	predicted not supported by ChIP-seq
1	78097535	78099039	ENSG00000036549	78097520	78097670	6531	78097594	78097606	ELF1	predicted not supported by ChIP-seq
1	78097535	78099039	ENSG00000036549	78097520	78097670	6531	78097606	78097624	Maf	predicted not supported by ChIP-seq
1	78414840	78414985	ENSG00000162613	78414880	78415030	6557	78414929	78414943	GATA	predicted not supported by ChIP-seq
1	78414840	78414985	ENSG00000162613	78414880	78415030	6557	78414969	78414984	Ets	predicted not supported by ChIP-seq
1	84876521	84876682	ENSG00000137976	84876500	84876650	6901	84876530	84876545	RXRA	predicted not supported by ChIP-seq
1	84944965	84945192	ENSG00000117133	84945100	84945250	6910	84945135	84945146	Foxa	predicted not supported by ChIP-seq
1	85036265	85036403	ENSG00000117151	85036260	85036410	6918	85036310	85036321	Maf	predicted not supported by ChIP-seq
1	85036265	85036403	ENSG00000117151	85036260	85036410	6918	85036312	85036321	AP-1	predicted not supported by ChIP-seq
1	85647781	85648883	ENSG00000097096	85648520	85648670	6983	85648626	85648642	Mef2	predicted not supported by ChIP-seq
1	85724207	85724405	ENSG00000162642	85724380	85724530	6995	85724381	85724399	Irf	predicted not supported by ChIP-seq
1	86173312	86173967	ENSG00000117174	86173840	86173990	7048	86173926	86173946	Znf143	predicted not supported by ChIP-seq
1	86173312	86173967	ENSG00000117174	86173840	86173990	7048	86173931	86173947	Maf	predicted not supported by ChIP-seq
1	86913191	86913461	ENSG00000137975	86913280	86913430	7106	86913320	86913331	YY1	predicted not supported by ChIP-seq
1	87012803	87012961	ENSG00000016602	87012740	87012890	7117	87012817	87012829	Irf	predicted not supported by ChIP-seq
1	87038297	87038508	ENSG00000016602	87038300	87038450	7118	87038367	87038385	GR	predicted not supported by ChIP-seq
1	87038297	87038508	ENSG00000016602	87038300	87038450	7118	87038381	87038401	Znf143	predicted not supported by ChIP-seq
1	87038297	87038508	ENSG00000016602	87038300	87038450	7118	87038385	87038398	STAT	predicted not supported by ChIP-seq
1	87038297	87038508	ENSG00000016602	87038300	87038450	7118	87038401	87038414	HNF4	predicted not supported by ChIP-seq
1	87633819	87633856	ENSG00000267561	87633760	87633910	7179	87633828	87633843	STAT	predicted not supported by ChIP-seq
1	89726390	89726500	ENSG00000154451	89726400	89726550	7357	89726434	89726445	Pax-5	predicted not supported by ChIP-seq
1	91403829	91406866	ENSG00000122482	91406400	91406550	7490	91406460	91406468	BRCA1	predicted not supported by ChIP-seq
1	92645822	92648152	ENSG00000069712	92647860	92648010	7585	92647899	92647917	Foxa	predicted not supported by ChIP-seq
1	93201955	93202184	ENSG00000067208	93202080	93202230	7616	93202087	93202097	Mxi1	predicted not supported by ChIP-seq
1	93201955	93202184	ENSG00000067208	93202080	93202230	7616	93202115	93202134	GR	predicted not supported by ChIP-seq
1	93645611	93645799	ENSG00000117500	93645660	93645810	7681	93645678	93645693	RXRA	predicted not supported by ChIP-seq
1	93645611	93645799	ENSG00000117500	93645660	93645810	7681	93645722	93645740	AP-2	predicted not supported by ChIP-seq
1	93645611	93645799	ENSG00000117500	93645660	93645810	7681	93645734	93645755	NRSF	predicted not supported by ChIP-seq
1	93645611	93645799	ENSG00000117500	93645660	93645810	7681	93645764	93645778	SP1	predicted not supported by ChIP-seq
1	94576994	94577135	ENSG00000198691	94576980	94577130	7786	94577017	94577034	Hsf	predicted not supported by ChIP-seq
1	99418626	99418876	ENSG00000117598	99418640	99418790	8134	99418743	99418758	Maf	predicted not supported by ChIP-seq
1	99730006	99730227	ENSG00000117600	99729940	99730090	8153	99730040	99730054	ATF3	predicted not supported by ChIP-seq
1	99771241	99772563	ENSG00000117600	99771260	99771410	8157	99771343	99771353	GATA	predicted not supported by ChIP-seq
1	100573366	100573560	ENSG00000156876	100573360	100573510	8218	100573429	100573441	ELF1	predicted not supported by ChIP-seq
1	101004523	101005674	ENSG00000181656	101005420	101005570	8249	101005479	101005489	TCF12	predicted not supported by ChIP-seq
1	101004523	101005674	ENSG00000181656	101005420	101005570	8249	101005500	101005516	E2F	predicted not supported by ChIP-seq
1	101004523	101005674	ENSG00000181656	101005420	101005570	8249	101005537	101005552	GR	predicted not supported by ChIP-seq
1	109235214	109235489	ENSG00000134186	109235360	109235510	8599	109235400	109235415	Ets	predicted not supported by ChIP-seq
1	109505983	109506096	ENSG00000162641	109506040	109506190	8625	109506044	109506060	AP-2	predicted not supported by ChIP-seq
1	109505983	109506096	ENSG00000162641	109506040	109506190	8625	109506054	109506064	GTF2F1	merged_ENCODE.tf.bound.union.bed
1	109505983	109506096	ENSG00000162641	109506040	109506190	8625	109506054	109506064	TAF1	merged_ENCODE.tf.bound.union.bed
1	109505983	109506096	ENSG00000162641	109506040	109506190	8625	109506054	109506064	TBP	merged_ENCODE.tf.bound.union.bed
1	110036762	110036909	ENSG00000174151	110036840	110036990	8701	110036848	110036860	ZEB1	predicted not supported by ChIP-seq
1	110163636	110163888	ENSG00000116337	110163600	110163750	8716	110163657	110163675	AP-2	predicted not supported by ChIP-seq
1	110465788	110466812	ENSG00000184371	110466160	110466310	8750	110466194	110466205	EBF	predicted not supported by ChIP-seq
1	110465788	110466812	ENSG00000184371	110466160	110466310	8750	110466261	110466276	Ets	predicted not supported by ChIP-seq
1	110465788	110466812	ENSG00000184371	110466160	110466310	8750	110466262	110466278	Maf	predicted not supported by ChIP-seq
1	110591734	110591860	ENSG00000143093	110591700	110591850	8776	110591809	110591831	NRSF	predicted not supported by ChIP-seq
1	110882028	110884898	ENSG00000162775	110882400	110882550	8826	110882424	110882438	SP1	predicted not supported by ChIP-seq
1	110882028	110884898	ENSG00000162775	110882400	110882550	8826	110882465	110882476	SP1	predicted not supported by ChIP-seq
1	110882028	110884898	ENSG00000162775	110882400	110882550	8826	110882505	110882517	AP-2	predicted not supported by ChIP-seq
1	111777529	111777679	ENSG00000064886	111777640	111777790	8892	111777668	111777679	Maf	predicted not supported by ChIP-seq
1	112106468	112106574	ENSG00000121933	112106400	112106550	8920	112106526	112106536	Mxi1	predicted not supported by ChIP-seq
1	116563342	116563506	ENSG00000163393	116563400	116563550	9220	116563409	116563423	Ets	predicted not supported by ChIP-seq
1	117660656	117661389	ENSG00000134253	117661300	117661450	9357	117661306	117661321	Ets	predicted not supported by ChIP-seq
1	117660656	117661389	ENSG00000134253	117661300	117661450	9357	117661361	117661374	CEBPB	predicted not supported by ChIP-seq
1	119530214	119530418	ENSG00000092607	119530240	119530390	9478	119530320	119530337	Irf	predicted not supported by ChIP-seq
1	144930584	144931708	ENSG00000178104	144930900	144931050	9689	144930938	144930946	BRCA1	predicted not supported by ChIP-seq
1	144989641	144990018	ENSG00000268172	144989580	144989730	9696	144989651	144989666	EP300	merged_ENCODE.tf.bound.union.bed
1	144989641	144990018	ENSG00000268172	144989580	144989730	9696	144989653	144989665	CEBPB	merged_ENCODE.tf.bound.union.bed
1	144989641	144990018	ENSG00000268172	144989580	144989730	9696	144989670	144989680	SPI1	merged_ENCODE.tf.bound.union.bed
1	144989641	144990018	ENSG00000268172	144989580	144989730	9696	144989673	144989681	STAT3	merged_ENCODE.tf.bound.union.bed
1	145074967	145075060	ENSG00000178104	145074940	145075090	9724	145074996	145075008	Pbx3	predicted not supported by ChIP-seq
1	145293406	145293580	ENSG00000163386	145293360	145293510	9771	145293483	145293491	TCF12	predicted not supported by ChIP-seq
1	145323654	145323705	ENSG00000163386	145323580	145323730	9772	145323669	145323681	ELF1	predicted not supported by ChIP-seq
1	145440902	145441053	ENSG00000117289	145440820	145440970	9792	145440905	145440917	GATA	predicted not supported by ChIP-seq
1	145473329	145474816	ENSG00000181039	145474140	145474290	9799	145474215	145474228	SP1	predicted not supported by ChIP-seq
1	145473329	145474816	ENSG00000181039	145474420	145474570	9800	145474440	145474454	SP1	predicted not supported by ChIP-seq
1	145498536	145498775	ENSG00000152022	145498640	145498790	9804	145498745	145498759	CEBPB	predicted not supported by ChIP-seq
1	145498536	145498775	ENSG00000152022	145498640	145498790	9804	145498751	145498766	Pou2f2	predicted not supported by ChIP-seq
1	150437003	150437203	ENSG00000163125	150437000	150437150	10086	150437133	150437145	SREBP	predicted not supported by ChIP-seq
1	150478067	150478181	ENSG00000143374	150477960	150478110	10089	150478075	150478088	AP-2	predicted not supported by ChIP-seq
1	150531438	150531641	ENSG00000143382	150531400	150531550	10099	150531498	150531511	AP-2	predicted not supported by ChIP-seq
1	150533560	150533946	ENSG00000203804	150533820	150533970	10102	150533820	150533834	PRDM1	predicted not supported by ChIP-seq
1	150533560	150533946	ENSG00000203804	150533820	150533970	10102	150533886	150533902	AP-2	predicted not supported by ChIP-seq
1	150533560	150533946	ENSG00000203804	150533820	150533970	10102	150533889	150533902	SP1	predicted not supported by ChIP-seq
1	151694013	151694096	ENSG00000178796	151693980	151694130	10241	151694047	151694056	AP-2	predicted not supported by ChIP-seq
1	151735971	151736041	ENSG00000143450	151735940	151736090	10246	151736025	151736038	AP-2	predicted not supported by ChIP-seq
1	152079864	152085554	ENSG00000159450	152080540	152080690	10306	152080670	152080690	Pax-5	predicted not supported by ChIP-seq
1	152079864	152085554	ENSG00000159450	152083180	152083330	10308	152083265	152083284	NRSF	predicted not supported by ChIP-seq
1	154401672	154401920	ENSG00000160712	154401680	154401830	10483	154401725	154401734	AP-2	predicted not supported by ChIP-seq
1	154401672	154401920	ENSG00000160712	154401680	154401830	10483	154401736	154401746	Ets	predicted not supported by ChIP-seq
1	154841508	154842440	ENSG00000143603	154842000	154842150	10533	154842107	154842116	ZBTB7A	predicted not supported by ChIP-seq
1	154933950	154934052	ENSG00000163348	154933920	154934070	10547	154933986	154933999	SP1	predicted not supported by ChIP-seq
1	154933950	154934052	ENSG00000163348	154933920	154934070	10547	154934002	154934018	Maf	predicted not supported by ChIP-seq
1	154933950	154934052	ENSG00000163348	154933920	154934070	10547	154934028	154934041	SP1	predicted not supported by ChIP-seq
1	155023093	155023341	ENSG00000163357	155023000	155023150	10573	155023095	155023107	AP-2	predicted not supported by ChIP-seq
1	155057567	155057880	ENSG00000143590	155057580	155057730	10583	155057649	155057688	Pax-5	predicted not supported by ChIP-seq
1	155057567	155057880	ENSG00000251246	155057580	155057730	10583	155057649	155057688	Pax-5	predicted not supported by ChIP-seq
1	155057567	155057880	ENSG00000143590	155057580	155057730	10583	155057652	155057662	AP-2	predicted not supported by ChIP-seq
1	155057567	155057880	ENSG00000251246	155057580	155057730	10583	155057652	155057662	AP-2	predicted not supported by ChIP-seq
1	155057567	155057880	ENSG00000143590	155057580	155057730	10583	155057655	155057668	SP1	predicted not supported by ChIP-seq
1	155057567	155057880	ENSG00000251246	155057580	155057730	10583	155057655	155057668	SP1	predicted not supported by ChIP-seq
1	155057567	155057880	ENSG00000143590	155057580	155057730	10583	155057670	155057682	AP-2	predicted not supported by ChIP-seq
